campus_name,pct_ed,pct_pass,campus_id,student_count,community,avg_salary,ed_count
ORTIZ EL,96.87034277198211,94.0,31901139,671,Other Central City,50088,650
LAMAR EL,92.95238095238095,96.0,71902125,525,Marjor Urban,50704,488
THELMA ROSA SALINAS STEM EARLY COL,97.52475247524752,93.0,108912010,404,Other Central City,51753,394
JIMMY CARTER EARLY COLLEGE H S,98.0225988700565,92.0,108912008,354,Other Central City,52982,347
TEKOA ACADEMY OF ACCELERATED STUDI,93.42560553633218,99.0,123803101,289,Charters,35985,270
LA AMISTAD LOVE & LEARNING ACADEMY,94.73684210526316,94.0,101833101,228,Charters,44346,216
NOVA ACADEMY,95.43147208121827,100.0,57809101,197,Charters,40547,188
TEXAS PREPARATORY SCHOOL - AUSTIN,95.1923076923077,100.0,105802101,104,Charters,43686,99
TEKOA ACADEMY OF ACCELERATED STUDI,95.45454545454545,97.0,123803103,66,Charters,35569,63
JEWEL C WIETZEL CENTER,100.0,100.0,15904115,3,Major Suburban,56090,3
